"Source:","C:\Users\natha\Documents\solar gators\BMS\BMS_r1\BMS_r1.sch"
"Date:","1/13/2020 7:18:05 PM"
"Tool:","Eeschema (5.1.5)-3"
"Component Count:","110"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C34","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C35","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C36","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C37","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C38","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"D1","LED","LED_SMD:LED_0805_2012Metric","~","",""
"D2","LED","LED_SMD:LED_0805_2012Metric","~","",""
"D3","LED","LED_SMD:LED_0805_2012Metric","~","",""
"FB1","Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","~","",""
"J1","PortB","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","",""
"J2","USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical_CircularHoles","~","",""
"J3","5V","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~","",""
"J4","GND","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~","",""
"J5","PortA","Connector_PinHeader_1.00mm:PinHeader_1x08_P1.00mm_Vertical","~","",""
"J6","BMS_GPIO","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Vertical","~","",""
"J7","JTAG","Connector_PinHeader_1.00mm:PinHeader_2x10_P1.00mm_Vertical","~","",""
"J8","PWR_SEL","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~","",""
"J9","CVDD_SEL","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~","",""
"J10","VPROG","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~","",""
"J11","COM","Connector_PinHeader_1.00mm:PinHeader_1x08_P1.00mm_Vertical","~","",""
"J12","I_IN","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~","",""
"R1","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R2","330","Resistor_SMD:R_0805_2012Metric","~","",""
"R3","330","Resistor_SMD:R_0805_2012Metric","~","",""
"R4","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R5","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R6","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R7","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R8","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R9","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R10","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R11","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R12","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R13","120","Resistor_SMD:R_0805_2012Metric","~","",""
"R14","120","Resistor_SMD:R_0805_2012Metric","~","",""
"R15","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R16","100","Resistor_SMD:R_0805_2012Metric","~","",""
"R17","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R18","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R19","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R20","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R21","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R22","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R23","47","Resistor_SMD:R_0805_2012Metric","~","",""
"R24","100K","Resistor_SMD:R_0805_2012Metric","~","",""
"R25","330","Resistor_SMD:R_0805_2012Metric","~","",""
"R26","100K","Resistor_SMD:R_0805_2012Metric","~","",""
"R27","100K","Resistor_SMD:R_0805_2012Metric","~","",""
"R28","100K","Resistor_SMD:R_0805_2012Metric","~","",""
"R29","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R30","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R31","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R32","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R33","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R34","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R35","100K","Resistor_SMD:R_0805_2012Metric","~","",""
"R36","10","Resistor_SMD:R_0805_2012Metric","~","",""
"R37","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R38","1K","Resistor_SMD:R_0805_2012Metric","~","",""
"R39","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R40","1K","Resistor_SMD:R_0805_2012Metric","~","",""
"R41","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R42","1K","Resistor_SMD:R_0805_2012Metric","~","",""
"R43","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R44","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R45","6.5K","Resistor_SMD:R_0805_2012Metric","~","",""
"SW1","SW_Push","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","",""
"SW2","VC_DIP","Button_Switch_THT:SW_DIP_SPSTx06_Piano_CTS_Series194-6MSTN_W7.62mm_P2.54mm","~","",""
"SW3","CB_DIP","Button_Switch_THT:SW_DIP_SPSTx06_Piano_CTS_Series194-6MSTN_W7.62mm_P2.54mm","~","",""
"TH1","10K","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"TH2","10K","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"U1","STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","",""
"U2","LP5907MFX-3.3","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907.pdf","",""
"U3","MIC803","Package_TO_SOT_SMD:SOT-23-5","","",""
"U4","TCAN1051","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","",""
"U5","BQ79606A-Q1","Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm","","",""
"U6","TLV2372","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tlv2375.pdf","",""
